,SBO,NETM,BL,B,G,E
CrC,7.944168,1.140839,2.03489,346.7,249.04,602.78
FeC,7.814546,0.644638,1.99301,343.89,140.92,371.94
MnC,8.095427,0.69072,2.00013,363.69,243.47,597.16
MoC,8.762149,0.987765,2.19826,348.55,242.36,590.28
VC,7.308094,1.345743,2.11437,271.64,129.2,334.55
WC,9.36167,0.915855,2.20919,388.87,286.78,690.57
ScC,5.336838,1.390403,2.38703,110.64,-14.685,-46.095
TiC,6.406818,1.567061,2.21536,215.94,39.245,111.1
W3ScC4,8.355462,1.034492,2.25365,303,160,408
W2Sc2C4,7.349254,1.153129,2.29811,222,90,237
WSc3C4,6.343046,1.271766,2.34257,180,47,131
W3TiC4,8.622957,1.0786565,2.2107325,336,194,488
W2Ti2C4,7.884244,1.241458,2.212275,278,134,346
WTi3C4,7.145531,1.4042595,2.2138175,240,59,165
W3VC4,8.848276,1.023327,2.185485,360,226,561
W2V2C4,8.334882,1.130799,2.16178,326,191,479
WV3C4,7.821488,1.238271,2.138075,299,157,400
W3CrC4,9.0072945,0.972101,2.165615,371,262,636
W2Cr2C4,8.652919,1.028347,2.12204,356,260,626
WCr3C4,8.2985435,1.084593,2.078465,341,254,611
W3MnC4,9.04510925,0.85957125,2.156925,371,258,628
W2Mn2C4,8.7285485,0.8032875,2.10466,357,243,595
WMn3C4,8.41198775,0.74700375,2.052395,341,228,560
W3FeC4,8.974889,0.84805075,2.155145,354,240,587
W2Fe2C4,8.588108,0.7802465,2.1011,341,216,536
WFe3C4,8.201327,0.71244225,2.047055,317,182,457
W3MoC4,9.21178975,0.9338325,2.2064575,385,277,670
W2Mo2C4,9.0619095,0.95181,2.203725,372,256,625
WMo3C4,8.91202925,0.9697875,2.2009925,360,254,617
