,SBO,NETM,BL,B,G,E
AlC,5.947814,1.374071,2.134457326,188.803,66.046,176.918
ScC,5.675045,1.38412775,2.342272999,153.337,73.59,190.209
TiC,6.940568,1.622327,2.16703057,247.528,177.811,430.379
VC,7.649431,1.486069,2.078550577,303.8,215.23,522.34
CrC,7.843922,1.31429875,2.032138107,251.674,124.204,319.701
MnC,7.74998,0.7805825,2.034889459,171.219,131.97,314.836
FeC,7.776784,0.7179315,1.995683911,333.418,113.496,305.507
CoC,7.44346,0.696402,2.001175403,255.598,54.124,151.667
NiC,6.937644,0.67954625,2.035196783,254.858,51.584,144.971
CuC,6.206852,0.798221,2.113989834,185.07,34.92,98.562
ZnC,5.920598,0.661493,2.199936388,140.91,37.537,103.41
YC,5.842677,1.32801525,2.536041261,128.97,67.767,173
ZrC,7.549391,1.480043,2.3549552,222.114,161.792,390.548
NbC,8.68645875,1.34276375,2.241084957,300.24,213.86,518.47
MoC,9.024757,1.15308175,2.184987782,332.152,162.354,418.7
RuC,8.421641,0.67027525,2.153264286,323.75,33.276,96.52
PdC,7.150847,0.62380625,2.212157963,213.77,48.771,135.97
AgC,6.117016,0.622177,2.322431804,135.12,20.282,57.946
CdC,5.686521,0.63665725,2.420275451,105.89,31.468,85.896
HfC,7.887069,1.4076905,2.323224304,240,181.593,435.183
TaC,9.106944,1.244526,2.239405152,323.887,218.66,535.406
WC,9.668975,1.1249015,2.19190621,362.607,168.55,437.565
PtC,7.84538225,0.61931625,2.233546304,256.9,17.665,51.807
AuC,6.78654375,0.5200645,2.324371701,161.1,17.83,51.588
HgC,5.840202,0.48618925,2.452665435,103.79,16.957,48.244
Ta3AlC4,8.3171615,1.27691525,2.213168283,294.383,200.313,489.836
Ta3CoC4,8.691073,1.107498,2.179847802,307.702,187.658,467.749
Ta3CrC4,8.7911885,1.261972188,2.187588478,315.821,206.384,508.357
Ta3CuC4,8.381921,1.13295275,2.20805141,290.845,166.437,419.265
Ta3FeC4,8.774404,1.112880375,2.178474929,321.489,186.667,466.867
Ta3HfC4,8.80197525,1.285320125,2.260360027,304.648,220.023,531.947
Ta3MnC4,8.767703,1.128543125,2.188276316,311.025,195.064,483.931
Ta3MoC4,9.08639725,1.221667938,2.225800896,324.366,198.385,494.296
Ta3NiC4,8.564619,1.103284063,2.188353147,301.836,183.449,457.547
Ta3ScC4,8.24896925,1.279429438,2.265122201,286.587,201.173,489.074
Ta3TiC4,8.56535,1.33897925,2.221311594,308.78,219.582,532.478
Ta3WC4,9.24745175,1.214622875,2.227530504,333.515,204.319,508.922
Ta3ZnC4,8.3103575,1.09877075,2.229538048,282.715,176.61,438.508
Ta3ZrC4,8.71755575,1.30340825,2.268292751,298.389,212.307,514.78
Ta3YC4,8.29087725,1.2654025,2.313564266,265.06,186.15,452.51
Ta3VC4,8.74256575,1.304915,2.19919159,312.56,222.29,539.07
Ta3NbC4,9.00218725,1.27019,2.23982519,318.8,217.34,531.28
Ta2Al2C4,7.527379,1.3093005,2.186931297,258.536,170.411,419.142
Ta2Co2C4,8.275202,0.970466,2.120290335,291.671,142.84,367.769
Ta2Cr2C4,8.475433,1.279414375,2.135771688,310.031,187.17,467.409
Ta2Cu2C4,7.656898,1.0213755,2.176697551,249.882,111.456,290.453
Ta2Fe2C4,8.441864,0.98123075,2.11754459,212.668,154.518,398.102
Ta2Hf2C4,8.4970065,1.32611025,2.281314786,282.566,204.87,494.976
Ta2Mn2C4,8.428462,1.01255625,2.137147364,247.807,164.915,404.857
Ta2Mo2C4,9.0658505,1.198805875,2.212196525,326.947,198.609,495.423
Ta2Ni2C4,8.022294,0.962038125,2.137301025,272.85,129.329,334.52
Ta2Sc2C4,7.3909945,1.314328875,2.290839133,244.481,181.843,437.144
Ta2Ti2C4,8.023756,1.4334285,2.203217919,289.716,216.229,519.448
Ta2W2C4,9.3879595,1.18471575,2.215655739,344.621,211.841,527.268
Ta2Zn2C4,7.513771,0.9530095,2.21967077,233.731,105.672,275.35
Ta2Zr2C4,8.3281675,1.3622865,2.297180234,271.366,195.501,472.923
TaAl3C4,6.7375965,1.34168575,2.160694312,220.858,109.503,281.915
TaCo3C4,7.859331,0.833434,2.060732869,284.212,132.269,343.384
TaCr3C4,8.1596775,1.296856563,2.083954897,311.616,162.25,414.706
TaCu3C4,6.931875,0.90979825,2.145343693,212.617,49.576,137.296
TaFe3C4,8.109324,0.849581125,2.05661425,273.333,111.935,295.365
TaHf3C4,8.19203775,1.366900375,2.302269545,261.929,199.634,477.57
TaMn3C4,8.089221,0.896569375,2.086018411,258.937,112.724,295.218
TaMo3C4,9.04530375,1.175943813,2.198592153,330.03,175.313,446.73
TaNi3C4,7.479969,0.820792188,2.086248904,249.065,78.814,213.793
TaSc3C4,6.53301975,1.349228313,2.316556066,196.995,126.586,312.754
TaW3C4,9.52846725,1.154808625,2.203780974,354.462,179.323,460.094
TaZn3C4,6.7171845,0.80725125,2.209803579,186.091,68.877,183.804
TaZr3C4,7.93877925,1.42116475,2.326067717,246.823,182.19,438.643
